"id";"company_id";"website"
737800;2;"http://www.werner-online.de"
744305;2;"https://rosenapotheke.cc"
744302;2;"https://www.werner-industrievertretung.de"
55;3;"https://www.wolfsperger-landmaschinen.de"
744349;3;"www.wolfsperger-landmaschinen.de"
744303;4;"https://albrecht-zahntechnik.de"
744304;5;"http://oriental-shop.com"
1569;5;"https://www.gallzick.com"
744378;6;"http://zwickedelstahl.de"
13;7;"https://nagel-gruppe.de"
1570;8;"https://www.albrecht-fachbau.de"
1571;9;"https://www.ad1950.de"
1573;11;"https://www.albrecht-dill.de"
744321;12;"https://alkoma.de"
1574;13;"http://www.albrecht-gerber.de"
744372;14;"https://brks.de"
1576;15;"https://www.weisshaeuptelgmbh.de"
57;16;"http://www.velte-steinmetz.de"
2542;17;"http://albrecht-elektro.de"
2543;18;"http://albrecht-germany.com"
58;19;"https://pav.de"
2095;20;"https://contorion.de"
773173;21;"https://albert-heiss.de"